brand;sku;name;priceIncl;stockLevel;skip;skip;articleCode;skip;skip
ZyXEL;USG20W-CS1-ZZ0101F;ZyXEL E-iCard Cyren AS, 1 jaar USG20W;118.3;82.81;1;;ZYEIUSG20WCAS1;SECLI20W;Firewall USG 20W
ZyXEL;USG300-CC1-ZZ0101F;ZyXEL E-iCard Cyren CF, 1 jaar USG300;347.26;243.08;0;;ZYEIUSG300CCF1;SECLI300;Firewall USG 300
ZyXEL;USG50-CS1-ZZ0101F;ZyXEL E-iCard Cyren AS, 1 jaar USG 50;180.56;126.39;0;;ZYEIUSG50CAS1;SECLI50;Firewall USG 50
ZyXEL;USG50-CC1-ZZ0101F;ZyXEL E-iCard Cyren CF, 1 jaar USG50;95.4;66.78;0;;ZYEIUSG50CCF1;SECLI50;Firewall USG 50
GIGASET;SPA112;Cisco SPA112;0;39.11;6;;GIPAP2T;TEBUOV;Telecom Bureautoestellen Overig
JABRA;920-25-508-101;Jabra Pro 920 (920-25-508-101);0;126.96;13;;JAPRO920;TEHEDRAA;Telecom Headsets Draadloos
ZyXEL;91-995-233001B;ZyXEL E-iCard Kasp. AV, 1 jaar USG 50;124.02;86.81;0;;ZYEIUSG50KAV1;SECLI50;Firewall USG 50
JABRA;9470-26-904-101;Jabra Pro 9470 (9470-26-904-101);379;239.38;1;;JAPRO9470;TEHEDRAA;Telecom Headsets Draadloos
ZyXEL;91-995-237001B;ZyXEL E-iCard IDP, 1 jaar USG50;64.87;45.41;0;;ZYEIUSG50IDP1;SECLI50;Firewall USG 50
JABRA;14401-05;Jabra 14401-05, Losse headset;150;94.74;3;;JAPRO9460HS;TEHEACC;Telecom Headsets Accessoires
GIGASET;S30852-H2315-R101;Gigaset N720DM Pro;499.95;321.7;12;;GIN720DM;TEDEGIPR;Telecom DECT Gigaset PRO
GIGASET;S30852-H2314-R101;Gigaset N720 IP Pro;499.95;321.7;6;;GIN720IP;TEDEGIPR;Telecom DECT Gigaset PRO
SPLITTER;ISDN pakket;Splitterpakket ISDN PF1351A;0;3.25;8;;SPPF1351APA;SPLITISD;Splitters ADSL annex B (ISDN)
SPLITTER;ISDN pakket;Splitterpakket ISDN PF1351A;0;3;8;;SPPF1351APA;SPLITISD;Splitters ADSL annex B (ISDN)
SPLITTER;ISDN pakket;Splitterpakket ISDN PF1351A;0;2.75;8;;SPPF1351APA;SPLITISD;Splitters ADSL annex B (ISDN)
SPLITTER;ISDN pakket;Splitterpakket ISDN PF1351A;0;2.5;8;;SPPF1351APA;SPLITISD;Splitters ADSL annex B (ISDN)
SPLITTER;ISDN pakket;Splitterpakket ISDN PF1351A;0;2.49;8;;SPPF1351APA;SPLITISD;Splitters ADSL annex B (ISDN)
SPLITTER;Splitterpakket ISDN;Splitterpakket ISDN PF1351A klein;0;6.59;19;;SPPF1351APAKL;SPLITISD;Splitters ADSL annex B (ISDN)
SPLITTER;splitterpakket ADSL/VDSL;Splitterpakket PSTN/VDSL (2);0;8;6;;SP270AAPA;SPLITAN;Splitters VDSL/ADSL annex A (Analoog)
SPLITTER;splitterpakket ADSL/VDSL klein;Splitterpakket ADSL/VDSL (2) klein;0;6.4;11;;SP270AAPAKL;SPLITAN;Splitters VDSL/ADSL annex A (Analoog)
SNOM;2882;SNOM UC600 op=op;0;69;2;;SNUC600;TEBUSN;Telecom Snom
ENGENIUS;ENH202v2;Engenius ENH-202 v2;0;98;7;;ENENH202;WIAPOUT;Wireless Accesspoints Outdoor
BRICKCOM;L-WM-01;Brickcom L-WM-01;0;56.25;2;;BRLWM01;SUDOACC;Camerabewaking Dome Accessoires
ZyXEL;XGS1910-24-EU0101F;ZyXEL XGS1910-24;643.18;509.39;1;;ZYXGS1910-24;SWSMGIG;Switching Smart Gigabit Switches
ZyXEL;XGS1910-48-EU0101F;ZyXEL XGS1910-48;0;800;1;;ZYXGS1910-48;SWSMGIG;Switching Smart Gigabit Switches
ZyXEL;POE12-HP-EU0102F;ZyXEL PoE-12HP;45.19;36.15;15;;ZYPOE12HP;NETPA;PoE Adapters
JABRA;8800-00-46;Jabra 8800-00-46, Verloopkabel;21;13.26;5;;JAKAQD25MMS;TEHEACC;Telecom Headsets Accessoires
GIGASET;S30852-H2217-R101;Gigaset N510 IP PRO;0;61.88;22;;GIN510IP;TEDEGIPR;Telecom DECT Gigaset PRO
GIGASET;W30852-H2210-R701;Gigaset ZY900 PRO;79.95;51.23;1;;GIZY900P;TEBUGIAC;Telecom Gigaset Accessoires
GIGASET;S30852-H2211-R701;Gigaset ZY700 PRO;79.95;51.23;3;;GIZY700P;TEBUGIAC;Telecom Gigaset Accessoires
WIFILINK;WLO-2450-08;WIFI-Link WLO-2450-08;0;25.18;1;;WLOA24-8;WIANTOMN;Wireless Antenne Omni
TPLINK;TL-ANT24SP;TP-Link ANT24SP op=op;0;9.5;5;;TPANT24SP;WIANTACC;Wireless Antenne Accessoires
VALADIS;SATL-25 alu;Wandmontage L-Beugel 50mm;0;25.35;1;;VAWMBEUGEL;WIAPACC;Wireless Accesspoints Accessoire
BRICKCOM;FB-100Ae;Brickcom FB-100Ae op=op;0;40;1;;BRFB100AE;SUBO;Camerabewaking Box
BRICKCOM;FB-100Ap;Brickcom FB-100Ap op=op;0;40;1;;BRFB100AP;SUBO;Camerabewaking Box
THECUS;N6850;Thecus NAS N6850;0;1167.25;1;;THN6850;STNA>5B;Storage NAS Tower >5 bay
THECUS;N8850;Thecus NAS N8850;0;1334;0;;THN8850;STNA>5B;Storage NAS Tower >5 bay
JABRA;9450-25-707-101;Jabra PRO 9450 Mono (9450-25-707-101);329;207.8;0;;JAPRO9450;TEHEDRAA;Telecom Headsets Draadloos
AASTRA;68980;Aastra 600 charge cradle op=op;0;15;2;;AALS600;UitVerk;Uitverkoop
SNOM;2092;SNOM Vision Black (2291) op=op;0;75;8;;SNV003;TEBUSNAC;Telecom Snom Accessoires
CABLE;K8094.0,5;UTP CAT 5e  0,5mtr Blauw;0;0.35;109;;CACAT5E027;KAU5E0,5;Kabels CAT 5E 0,5mtr
